listing_id,product,price,original_price,condition,seller,time_posted,likes,listing_url,source_url,category,buyer_protection,delivery_info
1422639117,[clearing]Msi Ventus 3x NVIDIA GeForce RTX 5070 Ti ( Student deal ),"RM2,299",,Brand new,laptopsaleskl,,81,https://www.carousell.com.my/p/clearing-msi-ventus-3x-nvidia-geforce-rtx-5070-ti-student-deal-1422639117/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1395823972,Silverstone ITX RVZ03 casing with 3 fans,RM88,,Well used,klmavrick,,39,https://www.carousell.com.my/p/silverstone-itx-rvz03-casing-with-3-fans-1395823972/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1431495734,Slim Mini ITX Case,RM200,,Well used,asmaan_arbi,,17,https://www.carousell.com.my/p/slim-mini-itx-case-1431495734/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1437173683,[SEALED] ASUS Dual Radeon RX 9060 XT 16GB black [3 years warranty],"RM1,650",,Brand new,dan18l,,5,https://www.carousell.com.my/p/sealed-asus-dual-radeon-rx-9060-xt-16gb-black-3-years-warranty-1437173683/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1435610027,SilverStone RVZ03 Mini ITX Case,RM120,,Well used,syahmiemoboyz,,3,https://www.carousell.com.my/p/silverstone-rvz03-mini-itx-case-1435610027/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1436691873,Gigabyte RTX 4070 WINDFORCE OC 12G,"RM2,100",,Lightly used,star4store,,5,https://www.carousell.com.my/p/gigabyte-rtx-4070-windforce-oc-12g-1436691873/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1432358671,Intel Processor i5-10600k,RM330,RM450,Like new,reensparx,,6,https://www.carousell.com.my/p/intel-processor-i5-10600k-1432358671/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437399939,GeForce GTX 1650 mini ITX Graphics Card,RM400,,Lightly used,kifkifkifkif,,,https://www.carousell.com.my/p/geforce-gtx-1650-mini-itx-graphics-card-1437399939/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1434322426,ASRock Challenger AMD RX 7800 XT 16GB,"RM1,600",,Lightly used,og_gamer_my,,29,https://www.carousell.com.my/p/asrock-challenger-amd-rx-7800-xt-16gb-1434322426/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1419217948,FSP & 1st Player SFX 650W PSU,RM315,,Like new,krakennnn,,14,https://www.carousell.com.my/p/fsp-1st-player-sfx-650w-psu-1419217948/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437127875,Lian Li O11 Vision Compact PC Case (NEGO),RM399,,Like new,a_rexsanda,,2,https://www.carousell.com.my/p/lian-li-o11-vision-compact-pc-case-nego-1437127875/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1437285154,ASUS  PRIME AMD Radeon RX 9060 XT 16GB,"RM1,600",,Like new,farizmbn,,1,https://www.carousell.com.my/p/asus-prime-amd-radeon-rx-9060-xt-16gb-1437285154/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1437401199,Intel Core i7-12700 Processor LGA1700,"RM1,100",,Like new,240sx90,,,https://www.carousell.com.my/p/intel-core-i7-12700-processor-lga1700-1437401199/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437400833,Intel Core i9-14900 Processor LGA1700,"RM1,800",,Like new,240sx90,,,https://www.carousell.com.my/p/intel-core-i9-14900-processor-lga1700-1437400833/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1436851048,Rtx 5060 Ti 16gb asus prime gaming oc triple fan . Warranty until 2028 with invoice . No box . Used,"RM2,100",,Lightly used,jackselayangjaya,,5,https://www.carousell.com.my/p/rtx-5060-ti-16gb-asus-prime-gaming-oc-triple-fan-warranty-until-2028-with-invoice-no-box-used-1436851048/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1437400233,SK Hynix DDR5 16GB 4800 Desktop RAM UDIMM,RM650,,Like new,240sx90,,,https://www.carousell.com.my/p/sk-hynix-ddr5-16gb-4800-desktop-ram-udimm-1437400233/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437172310,kingston fury beast ddr4 ram 3200 8gb,RM200,,Like new,royalbear_29ab41,,2,https://www.carousell.com.my/p/kingston-fury-beast-ddr4-ram-3200-8gb-1437172310/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1436412687,Combo Mobo B150M + CPU Intel i7 7700K + AIO Cooler,RM460,,Lightly used,wzwar91,,10,https://www.carousell.com.my/p/combo-mobo-b150m-cpu-intel-i7-7700k-aio-cooler-1436412687/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
