listing_id,product,price,condition,seller,time_posted,likes,listing_url,source_url,category
1435005791,AMD Ryzen 5 3400G,,,aiman83,,10,https://www.carousell.com.my/p/amd-ryzen-5-3400g-1435005791/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436987714,Selling AMD Ryzen 5 3400G Processor Desktoo,,,azka10,,6,https://www.carousell.com.my/p/selling-amd-ryzen-5-3400g-processor-desktoo-1436987714/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1327465326,AMD RYZEN 5 3400GE Quad Core 4 Core 8 Thread 4.0 GHZ AM4 Processor with Vega 11 Graphic APU,,,meanmachinetradestore,,5,https://www.carousell.com.my/p/amd-ryzen-5-3400ge-quad-core-4-core-8-thread-4-0-ghz-am4-processor-with-vega-11-graphic-apu-1327465326/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1435158477,Zotac Gaming GeForce RTX 5070 Ti 16GB,,,indahbrasco,,20,https://www.carousell.com.my/p/zotac-gaming-geforce-rtx-5070-ti-16gb-1435158477/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437400340,SK Hynix DDR5 16GB 5600 Desktop RAM UDIMM,,,240sx90,,1,https://www.carousell.com.my/p/sk-hynix-ddr5-16gb-5600-desktop-ram-udimm-1437400340/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1435841797,[PAIR] 16GB (8GBx2) DDR4 2666MHz | HIGH-SPEED UPGRADE,,,merlin001,,3,https://www.carousell.com.my/p/pair-16gb-8gbx2-ddr4-2666mhz-high-speed-upgrade-1435841797/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1433500819,EKWB EK-CoolStream Classic PE 360 Radiator,,,lyn.darkzone,,2,https://www.carousell.com.my/p/ekwb-ek-coolstream-classic-pe-360-radiator-1433500819/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437404253,Kingston DDR4 16GB RAM 2400MHz,,,fatcat90,,1,https://www.carousell.com.my/p/kingston-ddr4-16gb-ram-2400mhz-1437404253/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1435014787,"INTEL MINI ITX (NO GPU, PSU, STORAGE) PLEASE READ",,,inuzukaryuta,,6,https://www.carousell.com.my/p/intel-mini-itx-no-gpu-psu-storage-please-read-1435014787/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1434456540,Used DDR4 RAM 8GB 2666/3000/3200/3600Mhz,,,ezicching,,8,https://www.carousell.com.my/p/used-ddr4-ram-8gb-2666-3000-3200-3600mhz-1434456540/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
